first_ohio_name,first_ohio_lon,first_ohio_lat,second_ohio_name,second_ohio_lon,second_ohio_lat,dist_ohio,first_abroad_name,first_abroad_lon,first_abroad_lat,second_abroad_name,second_abroad_lon,second_abroad_lat,dist_abroad,ratio
Amsterdam,-80.9228671,40.4736758,Strasburg,-81.5267864,40.5947844,52.78393088047559,"Amsterdam, Netherlands",4.8936041,52.3727598,"Strasbourg, France",7.7507127,48.584614,467.1358169530102,0.11299482712494553
Amsterdam,-80.9228671,40.4736758,Toledo,-83.5378173,41.6529143,255.4385767995851,"Amsterdam, Netherlands",4.8936041,52.3727598,"Toledo, Spain",-4.0239568,39.8560679,1549.5476487418175,0.16484719073143245
Amsterdam,-80.9228671,40.4736758,Toronto,-80.6009058,40.4642335,27.255694874106,"Amsterdam, Netherlands",4.8936041,52.3727598,"Toronto, Ontario, Canada",-79.3839347,43.6534817,5981.082628129914,0.0045569835042770426
Amsterdam,-80.9228671,40.4736758,Truro Township,-82.80698629650246,39.9552092,170.05053950372135,"Amsterdam, Netherlands",4.8936041,52.3727598,"Truro, Nova Scotia, Canada",-63.300006,45.366668,4859.498054336973,0.0349934371003515
Amsterdam,-80.9228671,40.4736758,Versailles,-84.4844362,40.2225686,303.09082229090245,"Amsterdam, Netherlands",4.8936041,52.3727598,"Versailles, France",2.1266886,48.8035403,442.2636070288809,0.685317121901712
Amsterdam,-80.9228671,40.4736758,Vienna,-80.6642432,41.2378345,87.71023752218701,"Amsterdam, Netherlands",4.8936041,52.3727598,"Vienna, Austria",16.3725042,48.2083537,936.2444067109901,0.09368305636165188
Amsterdam,-80.9228671,40.4736758,Warsaw,-82.0069062,40.3353372,93.06879671141493,"Amsterdam, Netherlands",4.8936041,52.3727598,"Warsaw, Poland",21.0067249,52.2319581,1093.4577146015893,0.08511421655232947
Amsterdam,-80.9228671,40.4736758,Winesburg,-81.6951284,40.6164495,67.15655859415,"Amsterdam, Netherlands",4.8936041,52.3727598,"Weinsberg, Germany",9.2865471,49.1503044,472.96720267450365,0.14198988474126226
Antrim,-81.3584466,40.1203474,Antrim,-81.3584466,40.1203474,0.0,"Antrim, United Kingdom",-6.2192038,54.715139,"Antrim, United Kingdom",-6.2192038,54.715139,0.0,
Antrim,-81.3584466,40.1203474,Antwerp,-84.7405144,41.1814388,308.7257346488304,"Antrim, United Kingdom",-6.2192038,54.715139,"Antwerp, Belgium",4.3997081,51.2211097,809.1637724159216,0.3815367731146285
Antrim,-81.3584466,40.1203474,Athens,-82.1012479,39.3289242,108.53470590630843,"Antrim, United Kingdom",-6.2192038,54.715139,"Athens, Greece",23.7283052,37.9839412,2918.8014233607514,0.03718468308177675
Antrim,-81.3584466,40.1203474,Belfort,-81.2453851,40.8122811,77.53170814854613,"Antrim, United Kingdom",-6.2192038,54.715139,"Belfort, France",6.8628942,47.6379599,1201.1689954896874,0.06454687761644924
Antrim,-81.3584466,40.1203474,Berea,-81.8543026,41.3661614,144.68893931472113,"Antrim, United Kingdom",-6.2192038,54.715139,"Veria, Greece",22.2036834,40.5215342,2621.333344527146,0.055196695840612785
Antrim,-81.3584466,40.1203474,Bexley,-82.936864,39.9692378,135.40644374728768,"Antrim, United Kingdom",-6.2192038,54.715139,"Bexley, United Kingdom",0.150488,51.4416793,559.5456271720199,0.24199356973199967
Antrim,-81.3584466,40.1203474,Bonn,-81.3853969,39.5314626,65.52143380730531,"Antrim, United Kingdom",-6.2192038,54.715139,"Bonn, Germany",7.10066,50.735851,998.0542228803413,0.06564917246501227
Antrim,-81.3584466,40.1203474,Cadiz,-80.9967628,40.2728452,35.08874279590738,"Antrim, United Kingdom",-6.2192038,54.715139,"Cadiz, Spain",-6.2928976,36.5297438,2022.1315228144224,0.01735235438448164
Antrim,-81.3584466,40.1203474,Cairo,-84.08198022439336,40.8331281,243.6036563751853,"Antrim, United Kingdom",-6.2192038,54.715139,"Cairo, Egypt",31.2357257,30.0443879,4039.569248014095,0.06030436450493924
Antrim,-81.3584466,40.1203474,Calcutta,-80.56991771847152,40.685178,91.66580495429714,"Antrim, United Kingdom",-6.2192038,54.715139,"Calcutta, India",88.3638815,22.5726723,8261.01405743394,0.011096192830202087
Antrim,-81.3584466,40.1203474,Canton,-81.3749508,40.7985464,75.42521360906439,"Antrim, United Kingdom",-6.2192038,54.715139,"Guangzhou, China",113.2592945,23.1301964,9629.835140914403,0.007832451179626566
Antrim,-81.3584466,40.1203474,Carthagena,-84.5599552,40.4367135,273.8427862990268,"Antrim, United Kingdom",-6.2192038,54.715139,"Cartegena, Spain",-0.4880777,38.3695979,1868.1045827784567,0.1465885736930942
Antrim,-81.3584466,40.1203474,Cheviot,-84.6132787,39.1570028,298.5617042676056,"Antrim, United Kingdom",-6.2192038,54.715139,"Cheviot Hills, United Kingdom",-2.1087863,52.5708442,360.8169055687912,0.8274604090319809
Antrim,-81.3584466,40.1203474,Damascus,-80.9550891,40.9020031,93.36559600543426,"Antrim, United Kingdom",-6.2192038,54.715139,"Damascus, Syria",36.3095814,33.5130695,4039.7338873204817,0.023111818404296623
Antrim,-81.3584466,40.1203474,Delhi,-84.6052225,39.0950595,300.57727501390394,"Antrim, United Kingdom",-6.2192038,54.715139,"Delhi, India",77.2219388,28.6517178,7038.77832253397,0.04270304607429315
Antrim,-81.3584466,40.1203474,Dresden,-82.0106918,40.1214579,55.45992923436268,"Antrim, United Kingdom",-6.2192038,54.715139,"Dresden, Germany",13.7381437,51.0493286,1394.3283103642864,0.03977537343401789
Antrim,-81.3584466,40.1203474,Dublin,-83.1140771,40.0992294,149.32037145769866,"Antrim, United Kingdom",-6.2192038,54.715139,"Dublin, Ireland",-6.2602732,53.3497645,151.84639990558918,0.9833645812514417
Antrim,-81.3584466,40.1203474,East Liverpool,-80.5772928,40.6186756,86.31209195034556,"Antrim, United Kingdom",-6.2192038,54.715139,"Liverpool, United Kingdom",-2.99168,53.4071991,255.92763291745527,0.3372519448815593
Antrim,-81.3584466,40.1203474,Glandorf,-84.0791193,41.0289961,251.00232276599473,"Antrim, United Kingdom",-6.2192038,54.715139,"Glandorf, Germany",8.0033646,52.081578,985.374329411319,0.25472788895966897
Antrim,-81.3584466,40.1203474,Kimbolton,-81.572065,40.1528489,18.51573714322628,"Antrim, United Kingdom",-6.2192038,54.715139,"Kimbolton, United Kingdom",-0.3813986697827069,52.30345885,469.79840242584083,0.03941209047884969
Antrim,-81.3584466,40.1203474,Leipsic,-83.9846655,41.0983847,246.91596433173044,"Antrim, United Kingdom",-6.2192038,54.715139,"Leipzig, Germany",12.3747329,51.3406321,1294.4330100125337,0.1907522153883727
Antrim,-81.3584466,40.1203474,Lima,-84.105006,40.7399785,242.45512497742314,"Antrim, United Kingdom",-6.2192038,54.715139,"Lima, Peru",-77.0365256,-12.0621065,9911.783355041083,0.02446130189620334
Antrim,-81.3584466,40.1203474,Lisbon,-80.7681336,40.7720044,88.01016885106453,"Antrim, United Kingdom",-6.2192038,54.715139,"Lisbon, Portugal",-9.1365919,38.7077507,1793.3879754888412,0.04907480704339771
Antrim,-81.3584466,40.1203474,Mantua,-81.223991,41.283944,129.88148400385626,"Antrim, United Kingdom",-6.2192038,54.715139,"Mantua, Italy",10.670836515673878,45.1692628,1601.1289224741017,0.08111869205582793
Antrim,-81.3584466,40.1203474,Maria Stein,-84.4932862,40.4078249,267.89014015323517,"Antrim, United Kingdom",-6.2192038,54.715139,"Metzerlen-Mariastein, Switzerland",7.4900151,47.476261,1246.9751041552177,0.21483198763195954
Antrim,-81.3584466,40.1203474,Matamoras,-81.06873959710815,39.5196735,71.2272234314999,"Antrim, United Kingdom",-6.2192038,54.715139,"Matamoros, Mexico",-97.5017951,25.8520977,7768.131471285492,0.009169157820614617
Antrim,-81.3584466,40.1203474,Mecca Township,-80.955388,40.714978,74.40496407152958,"Antrim, United Kingdom",-6.2192038,54.715139,"Mecca, Saudi Arabia",39.826869,21.420847,5318.248696499851,0.01399050106861276
Antrim,-81.3584466,40.1203474,Medina,-81.8637474,41.1383878,120.96553597920455,"Antrim, United Kingdom",-6.2192038,54.715139,"Medina, Saudi Arabia",39.6111216,24.471153,5027.460895035266,0.024060960095912593
Antrim,-81.3584466,40.1203474,Milan,-82.6054547,41.2975519,167.87246987074957,"Antrim, United Kingdom",-6.2192038,54.715139,"Milano, Italy",9.1905,45.4668,1499.2895619701999,0.11196801080249649
Antrim,-81.3584466,40.1203474,Mogadore,-81.393946,41.050775,103.50224717583244,"Antrim, United Kingdom",-6.2192038,54.715139,"Essaouira, Morocco",-9.7620903,31.5118281,2595.26733803173,0.03988115045378304
Antrim,-81.3584466,40.1203474,New Riegel,-83.318534,41.0514438,195.2248606084451,"Antrim, United Kingdom",-6.2192038,54.715139,"Riegel, Germany",7.740185454385324,48.15925665,1207.8907680391296,0.16162459865917347
Antrim,-81.3584466,40.1203474,Oxford,-84.7420519,39.5103048,296.82782600321036,"Antrim, United Kingdom",-6.2192038,54.715139,"Oxford, United Kingdom",-1.2578499,51.7520131,466.26102231968974,0.6366129952841988
Antrim,-81.3584466,40.1203474,Padua,-84.7838517,40.5083795,293.59710728945976,"Antrim, United Kingdom",-6.2192038,54.715139,"Padua, Italy",11.8734455,45.4077172,1646.686926455247,0.1782956447716955
Antrim,-81.3584466,40.1203474,Parma,-81.7355692,41.3822398,143.86664323304447,"Antrim, United Kingdom",-6.2192038,54.715139,"Parma, Italy",10.3280833,44.8013678,1613.7088549304615,0.08915278787340113
Antrim,-81.3584466,40.1203474,Parral,-81.4970623,40.5611743,50.40589362051335,"Antrim, United Kingdom",-6.2192038,54.715139,"Parral, Mexico",-93.0029074,16.3692304,8324.258540292756,0.006055301307200944
Antrim,-81.3584466,40.1203474,Pyrmont,-84.4607823,39.8119978,266.58837426553015,"Antrim, United Kingdom",-6.2192038,54.715139,"Bad Pyrmont, Germany",9.2434635,51.9850503,1067.7636928242964,0.24966982494074935
Antrim,-81.3584466,40.1203474,Ravenna,-81.242047,41.157557,115.74984843788349,"Antrim, United Kingdom",-6.2192038,54.715139,"Ravenna, Italy",12.059009490863945,44.3640607,1741.1071770836445,0.06648059921949466
Antrim,-81.3584466,40.1203474,Seville,-81.86236,41.010055,107.69906276676353,"Antrim, United Kingdom",-6.2192038,54.715139,"Seville, Spain",-5.9953403,37.3886303,1926.6948038108467,0.055898351183458574
Antrim,-81.3584466,40.1203474,Stockport,-81.7929122,39.5484057,73.62585799230334,"Antrim, United Kingdom",-6.2192038,54.715139,"Stockport, United Kingdom",-2.160243,53.407901,302.091759024934,0.24372018035164747
Antrim,-81.3584466,40.1203474,Strasburg,-81.5267864,40.5947844,54.649269517290605,"Antrim, United Kingdom",-6.2192038,54.715139,"Strasbourg, France",7.7507127,48.584614,1177.1484713569507,0.04642512890009023
Antrim,-81.3584466,40.1203474,Toledo,-83.5378173,41.6529143,250.19450625204502,"Antrim, United Kingdom",-6.2192038,54.715139,"Toledo, Spain",-4.0239568,39.8560679,1660.3191154796696,0.1506906135810906
Antrim,-81.3584466,40.1203474,Toronto,-80.6009058,40.4642335,74.76785565766119,"Antrim, United Kingdom",-6.2192038,54.715139,"Toronto, Ontario, Canada",-79.3839347,43.6534817,5204.1116588472405,0.014367073683085225
Antrim,-81.3584466,40.1203474,Truro Township,-82.80698629650246,39.9552092,124.67683652069478,"Antrim, United Kingdom",-6.2192038,54.715139,"Truro, Nova Scotia, Canada",-63.300006,45.366668,4084.449149517866,0.03052476159126912
Antrim,-81.3584466,40.1203474,Versailles,-84.4844362,40.2225686,265.8320836464839,"Antrim, United Kingdom",-6.2192038,54.715139,"Versailles, France",2.1266886,48.8035403,871.7678409754907,0.30493449190443084
Antrim,-81.3584466,40.1203474,Vienna,-80.6642432,41.2378345,137.35668963940074,"Antrim, United Kingdom",-6.2192038,54.715139,"Vienna, Austria",16.3725042,48.2083537,1714.2270199408292,0.08012747905708659
Antrim,-81.3584466,40.1203474,Warsaw,-82.0069062,40.3353372,60.01747256544894,"Antrim, United Kingdom",-6.2192038,54.715139,"Warsaw, Poland",21.0067249,52.2319581,1811.12583596958,0.03313821236132872
Antrim,-81.3584466,40.1203474,Winesburg,-81.6951284,40.6164495,62.10180178393058,"Antrim, United Kingdom",-6.2192038,54.715139,"Weinsberg, Germany",9.2865471,49.1503044,1226.193592016826,0.050646000915553976
Antwerp,-84.7405144,41.1814388,Antwerp,-84.7405144,41.1814388,0.0,"Antwerp, Belgium",4.3997081,51.2211097,"Antwerp, Belgium",4.3997081,51.2211097,0.0,
Antwerp,-84.7405144,41.1814388,Athens,-82.1012479,39.3289242,304.26552734330585,"Antwerp, Belgium",4.3997081,51.2211097,"Athens, Greece",23.7283052,37.9839412,2110.9866296536447,0.1441342749732278
Antwerp,-84.7405144,41.1814388,Belfort,-81.2453851,40.8122811,296.16203936429156,"Antwerp, Belgium",4.3997081,51.2211097,"Belfort, France",6.8628942,47.6379599,436.37346430749056,0.6786893878487555
Antwerp,-84.7405144,41.1814388,Berea,-81.8543026,41.3661614,242.06321307212156,"Antwerp, Belgium",4.3997081,51.2211097,"Veria, Greece",22.2036834,40.5215342,1812.307289200786,0.13356631875539696
Antwerp,-84.7405144,41.1814388,Bexley,-82.936864,39.9692378,203.3969505298897,"Antwerp, Belgium",4.3997081,51.2211097,"Bexley, United Kingdom",0.150488,51.4416793,296.19478045897347,0.686699982405877
Antwerp,-84.7405144,41.1814388,Bonn,-81.3853969,39.5314626,338.3129305908585,"Antwerp, Belgium",4.3997081,51.2211097,"Bonn, Germany",7.10066,50.735851,196.627559060871,1.7205773809465095
Antwerp,-84.7405144,41.1814388,Cadiz,-80.9967628,40.2728452,331.2222579495494,"Antwerp, Belgium",4.3997081,51.2211097,"Cadiz, Spain",-6.2928976,36.5297438,1840.3663029671238,0.1799762674504187
Antwerp,-84.7405144,41.1814388,Cairo,-84.08198022439336,40.8331281,67.47921033100991,"Antwerp, Belgium",4.3997081,51.2211097,"Cairo, Egypt",31.2357257,30.0443879,3231.7270289329076,0.020880232063811108
Antwerp,-84.7405144,41.1814388,Calcutta,-80.56991771847152,40.685178,354.63259061850357,"Antwerp, Belgium",4.3997081,51.2211097,"Calcutta, India",88.3638815,22.5726723,7660.942566887962,0.046290986718957074
Antwerp,-84.7405144,41.1814388,Canton,-81.3749508,40.7985464,285.6520852589933,"Antwerp, Belgium",4.3997081,51.2211097,"Guangzhou, China",113.2592945,23.1301964,9240.859867835403,0.030911851206970525
Antwerp,-84.7405144,41.1814388,Carthagena,-84.5599552,40.4367135,84.19239651182413,"Antwerp, Belgium",4.3997081,51.2211097,"Cartegena, Spain",-0.4880777,38.3695979,1479.3022123922428,0.056913587910933365
Antwerp,-84.7405144,41.1814388,Cheviot,-84.6132787,39.1570028,225.36638611822883,"Antwerp, Belgium",4.3997081,51.2211097,"Cheviot Hills, United Kingdom",-2.1087863,52.5708442,470.94164743920953,0.47854418343266136
Antwerp,-84.7405144,41.1814388,Damascus,-80.9550891,40.9020031,318.96237169694854,"Antwerp, Belgium",4.3997081,51.2211097,"Damascus, Syria",36.3095814,33.5130695,3236.657955289268,0.09854682703673026
Antwerp,-84.7405144,41.1814388,Delhi,-84.6052225,39.0950595,232.27958886980386,"Antwerp, Belgium",4.3997081,51.2211097,"Delhi, India",77.2219388,28.6517178,6402.648729766947,0.0362786713239317
Antwerp,-84.7405144,41.1814388,Dresden,-82.0106918,40.1214579,258.6852478802326,"Antwerp, Belgium",4.3997081,51.2211097,"Dresden, Germany",13.7381437,51.0493286,651.4127317396888,0.39711420314026946
Antwerp,-84.7405144,41.1814388,Dublin,-83.1140771,40.0992294,182.51364969424895,"Antwerp, Belgium",4.3997081,51.2211097,"Dublin, Ireland",-6.2602732,53.3497645,761.8965324483884,0.2395517526608675
Antwerp,-84.7405144,41.1814388,East Liverpool,-80.5772928,40.6186756,355.4207556185225,"Antwerp, Belgium",4.3997081,51.2211097,"Liverpool, United Kingdom",-2.99168,53.4071991,557.7949022925591,0.6371889634661937
Antwerp,-84.7405144,41.1814388,Glandorf,-84.0791193,41.0289961,57.94987610810395,"Antwerp, Belgium",4.3997081,51.2211097,"Glandorf, Germany",8.0033646,52.081578,266.35698158134625,0.2175646974374722
